Age,Gender,Weight (kg),Height (cm),BMI,Activity Level,Dietary Goal,Daily Caloric Intake Goal (kcal),Diet Type,Allergies/Intolerances,Existing Health Conditions
40,male,64,180,19.75,active,weight loss,2730,regular,none,none
39,female,73,170,25.26,sedentary,muscle gain,1776,keto,none,none
18,male,88,164,32.72,active,weight loss,3367,regular,none,none
42,female,74,159,29.27,moderate,weight loss,2236,regular,none,none
23,male,54,168,19.13,moderate,weight loss,2306,regular,none,none
32,male,84,168,29.76,sedentary,weight loss,2206,regular,gluten,none
47,male,60,181,18.31,active,maintenance,2577,regular,none,diabetes
32,female,52,143,25.43,sedentary,muscle gain,1479,keto,none,none
37,male,75,164,27.89,sedentary,weight loss,2004,regular,none,diabetes
37,female,54,177,17.24,active,weight loss,2303,paleo,none,high cholesterol
31,female,73,166,26.49,moderate,weight loss,2329,regular,none,none
37,female,65,171,22.23,moderate,weight loss,2198,keto,none,none
43,female,59,171,20.18,sedentary,maintenance,1604,vegetarian,none,hypertension
21,female,66,175,21.55,active,weight loss,2603,regular,none,none
39,female,54,179,16.85,moderate,maintenance,2066,regular,none,none
34,male,66,169,23.11,moderate,weight loss,2465,vegan,none,none
38,female,78,172,26.37,active,maintenance,2652,keto,none,none
44,male,63,183,18.81,moderate,maintenance,2419,regular,none,none
39,male,74,192,20.07,active,maintenance,3070,vegan,none,diabetes
41,female,69,160,26.95,active,muscle gain,2422,regular,none,hypertension
35,female,59,173,19.71,active,muscle gain,2376,paleo,none,none
42,female,87,158,34.85,active,weight loss,2690,regular,nuts,none
40,female,57,176,18.4,moderate,weight loss,2087,regular,nuts,hypertension
30,female,62,166,22.5,sedentary,weight loss,1686,regular,none,none
51,female,50,156,20.55,sedentary,weight loss,1407,regular,none,none
33,female,64,159,25.32,moderate,maintenance,2153,regular,none,none
29,male,79,174,26.09,active,muscle gain,3135,regular,none,high cholesterol
31,female,57,150,25.33,sedentary,weight loss,1566,regular,none,none
18,female,70,180,21.6,active,weight loss,2716,regular,none,high cholesterol
39,male,67,156,27.53,moderate,muscle gain,2345,regular,none,none
41,male,72,175,23.51,moderate,muscle gain,2573,regular,none,none
18,female,75,162,28.58,sedentary,weight loss,1878,regular,none,none
42,female,68,163,25.59,sedentary,weight loss,1679,vegan,none,diabetes
52,male,93,168,32.95,moderate,maintenance,2860,vegetarian,none,none
36,female,58,159,22.94,moderate,muscle gain,2047,regular,none,none
52,female,76,150,33.78,sedentary,maintenance,1668,regular,none,none
24,male,78,178,24.62,sedentary,weight loss,2222,keto,none,none
36,male,74,191,20.28,moderate,maintenance,2778,regular,none,high cholesterol
30,female,72,177,22.98,sedentary,weight loss,1838,paleo,none,none
22,female,61,159,24.13,sedentary,weight loss,1691,vegan,lactose,none
35,male,63,157,25.56,sedentary,maintenance,1785,regular,none,none
34,female,62,169,21.71,sedentary,maintenance,1677,vegetarian,none,none
40,male,90,177,28.73,sedentary,maintenance,2300,regular,none,high cholesterol
37,female,54,169,18.91,moderate,muscle gain,2031,regular,none,none
46,female,76,155,31.63,moderate,muscle gain,2219,regular,none,diabetes
20,male,62,164,23.05,moderate,weight loss,2468,regular,none,diabetes
26,male,88,175,28.73,sedentary,weight loss,2351,regular,none,none
40,female,68,152,29.43,sedentary,weight loss,1649,keto,none,none
27,male,91,149,40.99,moderate,maintenance,2897,vegetarian,none,none
26,male,95,173,31.74,moderate,weight loss,3168,regular,none,diabetes
18,female,62,153,26.49,moderate,maintenance,2196,regular,none,none
23,male,72,170,24.91,sedentary,maintenance,2086,regular,none,none
24,female,57,161,21.99,moderate,maintenance,2123,keto,none,none
18,female,61,170,21.11,moderate,muscle gain,2264,regular,none,none
23,male,86,178,27.14,moderate,maintenance,3044,vegan,gluten,diabetes
28,female,70,165,25.71,sedentary,maintenance,1782,regular,none,high cholesterol
22,male,62,174,20.48,moderate,maintenance,2525,vegetarian,shellfish,diabetes
18,male,75,169,26.26,moderate,weight loss,2793,vegetarian,none,none
37,female,59,157,23.94,moderate,muscle gain,2045,regular,none,high cholesterol
38,female,72,176,23.24,moderate,weight loss,2316,regular,lactose,none
21,female,70,171,23.94,active,maintenance,2646,vegan,nuts,none
37,male,63,177,20.11,moderate,weight loss,2436,regular,none,none
28,male,86,178,27.14,moderate,maintenance,3000,keto,none,none
27,male,76,160,29.69,moderate,weight loss,2668,regular,none,high cholesterol
29,female,63,162,24.01,active,weight loss,2426,vegan,nuts,diabetes
18,female,84,175,27.43,moderate,maintenance,2617,regular,none,hypertension
31,female,62,161,23.92,sedentary,muscle gain,1663,regular,lactose,none
31,male,86,177,27.45,moderate,weight loss,2967,vegan,lactose,none
35,male,88,166,31.93,moderate,weight loss,2891,keto,none,none
42,female,71,159,28.08,moderate,weight loss,2193,regular,none,hypertension
36,female,59,165,21.67,moderate,muscle gain,2090,regular,none,none
18,female,77,154,32.47,sedentary,weight loss,1871,regular,none,high cholesterol
43,female,76,161,29.32,sedentary,weight loss,1756,regular,none,none
48,female,73,179,22.78,sedentary,maintenance,1763,regular,none,none
42,male,68,158,27.24,moderate,muscle gain,2355,regular,none,high cholesterol
45,female,61,148,27.85,sedentary,weight loss,1530,paleo,none,none
22,male,78,168,27.64,active,weight loss,3130,regular,none,diabetes
40,male,85,173,28.4,sedentary,weight loss,2196,regular,none,none
23,female,48,163,18.07,active,weight loss,2237,regular,none,high cholesterol
60,female,70,177,22.34,moderate,maintenance,2144,regular,none,none
31,female,67,156,27.53,moderate,weight loss,2195,regular,none,none
39,female,67,174,22.13,active,muscle gain,2479,regular,none,none
35,male,84,162,32.01,sedentary,muscle gain,2151,regular,gluten,none
22,male,72,167,25.82,active,weight loss,2983,regular,none,high cholesterol
34,male,81,165,29.75,sedentary,weight loss,2127,regular,lactose,none
39,female,70,161,27.01,sedentary,maintenance,1710,keto,none,none
44,male,80,185,23.37,sedentary,maintenance,2158,regular,none,diabetes
26,female,57,161,21.99,moderate,muscle gain,2109,paleo,none,none
31,female,71,166,25.77,moderate,weight loss,2300,vegetarian,none,none
43,male,90,168,31.89,sedentary,weight loss,2227,keto,none,none
44,female,59,152,25.54,sedentary,weight loss,1528,keto,none,diabetes
34,male,74,170,25.61,moderate,muscle gain,2639,regular,none,none
46,female,74,174,24.44,moderate,weight loss,2281,keto,lactose,none
29,male,79,183,23.59,moderate,weight loss,2883,regular,none,none
35,female,81,160,31.64,active,weight loss,2658,regular,shellfish,none
43,female,65,172,21.97,active,weight loss,2407,regular,none,none
49,male,74,166,26.85,moderate,weight loss,2477,vegetarian,gluten,none
46,male,86,180,26.54,sedentary,maintenance,2212,keto,none,none
46,female,67,169,23.46,moderate,maintenance,2157,keto,none,none
37,female,67,166,24.31,moderate,weight loss,2203,regular,none,none
47,male,75,179,23.41,moderate,weight loss,2612,regular,lactose,none
28,female,67,179,20.91,sedentary,maintenance,1801,vegan,none,high cholesterol
35,male,90,179,28.09,moderate,weight loss,3029,regular,none,none
18,female,60,149,27.03,moderate,weight loss,2148,regular,none,high cholesterol
32,male,82,193,22.01,sedentary,maintenance,2318,regular,none,none
18,female,64,175,20.9,sedentary,weight loss,1804,regular,none,diabetes
39,female,62,154,26.14,sedentary,maintenance,1595,regular,shellfish,none
34,female,69,172,23.32,moderate,muscle gain,2280,regular,none,none
24,male,76,185,22.21,sedentary,weight loss,2230,regular,none,diabetes
47,female,57,168,20.2,sedentary,weight loss,1550,regular,none,hypertension
27,female,58,161,22.38,moderate,maintenance,2117,regular,none,none
37,male,72,181,21.98,active,muscle gain,2952,regular,none,none
43,female,68,181,20.76,sedentary,maintenance,1741,regular,none,none
40,female,75,151,32.89,active,weight loss,2477,regular,none,high cholesterol
32,male,81,169,28.36,moderate,maintenance,2794,vegetarian,gluten,none
41,female,71,169,24.86,sedentary,maintenance,1740,vegan,gluten,none
29,male,67,164,24.91,moderate,weight loss,2493,regular,gluten,none
27,male,103,180,31.79,sedentary,muscle gain,2615,regular,none,none
18,female,77,167,27.61,active,maintenance,2758,regular,none,high cholesterol
44,male,75,186,21.68,moderate,maintenance,2691,paleo,none,none
29,female,59,179,18.41,sedentary,weight loss,1707,regular,gluten,none
37,male,85,189,23.8,sedentary,weight loss,2309,regular,none,none
27,female,56,156,23.01,sedentary,weight loss,1598,regular,none,none
34,female,76,188,21.5,sedentary,maintenance,1903,regular,none,high cholesterol
20,male,80,178,25.25,moderate,maintenance,2946,vegetarian,none,none
42,male,61,186,17.63,sedentary,weight loss,1872,vegetarian,none,none
23,male,74,180,22.84,moderate,weight loss,2810,regular,none,none
42,female,54,162,20.58,active,weight loss,2185,regular,none,hypertension
36,female,51,151,22.37,active,muscle gain,2124,regular,none,none
22,female,69,154,29.09,moderate,muscle gain,2275,keto,gluten,diabetes
42,male,70,154,29.52,sedentary,muscle gain,1832,keto,none,none
42,male,78,176,25.18,moderate,weight loss,2696,regular,none,none
32,female,56,156,23.01,moderate,maintenance,2031,regular,none,none
38,male,72,156,29.59,sedentary,weight loss,1903,regular,none,hypertension
33,female,68,147,31.47,moderate,weight loss,2153,paleo,gluten,none
32,female,65,149,29.28,active,maintenance,2366,regular,none,none
39,male,90,173,30.07,sedentary,maintenance,2283,regular,none,none
45,female,80,178,25.25,sedentary,weight loss,1853,low-carb,none,hypertension
18,female,64,171,21.89,sedentary,weight loss,1789,regular,none,none
39,male,53,178,16.73,moderate,weight loss,2218,vegetarian,none,none
45,male,95,172,32.11,active,muscle gain,3331,regular,none,diabetes
36,male,82,184,24.22,sedentary,muscle gain,2239,vegan,none,high cholesterol
30,female,68,171,23.26,active,maintenance,2547,regular,none,hypertension
45,female,60,171,20.52,sedentary,muscle gain,1605,vegan,none,diabetes
56,female,57,168,20.2,moderate,muscle gain,1942,vegan,none,hypertension
18,female,58,186,16.76,sedentary,weight loss,1779,vegetarian,lactose,high cholesterol
36,male,74,180,22.84,sedentary,weight loss,2087,vegan,none,none
29,male,70,172,23.66,sedentary,maintenance,2024,regular,none,none
41,male,64,181,19.54,moderate,maintenance,2452,regular,none,high cholesterol
36,male,80,162,30.48,moderate,muscle gain,2686,keto,none,none
18,female,52,159,20.57,moderate,muscle gain,2082,regular,none,none
34,female,62,160,24.22,sedentary,maintenance,1643,keto,none,none
48,male,66,182,19.93,sedentary,weight loss,1888,regular,none,none
56,female,56,176,18.08,moderate,muscle gain,1966,regular,shellfish,none
20,male,74,166,26.85,sedentary,maintenance,2115,regular,none,none
38,female,51,171,17.44,active,maintenance,2216,vegetarian,none,none
49,male,86,157,34.89,moderate,weight loss,2659,regular,none,none
35,female,65,167,23.31,moderate,muscle gain,2192,regular,none,none
20,male,77,162,29.34,active,maintenance,3077,regular,none,none
23,male,65,170,22.49,moderate,weight loss,2549,regular,none,none
35,female,61,170,21.11,sedentary,weight loss,1664,regular,none,none
39,male,98,162,37.34,moderate,weight loss,3034,vegetarian,none,hypertension
25,female,60,169,21.01,active,weight loss,2446,regular,none,none
45,female,71,154,29.94,active,weight loss,2391,paleo,none,high cholesterol
31,female,59,161,22.76,moderate,weight loss,2104,vegan,none,none
43,female,63,161,24.3,sedentary,maintenance,1611,vegan,none,hypertension
23,female,69,167,24.74,moderate,weight loss,2330,regular,none,none
26,female,66,140,33.67,moderate,muscle gain,2138,low-carb,none,none
57,male,76,155,31.63,sedentary,weight loss,1832,regular,none,none
40,female,64,156,26.3,moderate,muscle gain,2092,regular,none,diabetes
18,female,61,157,24.75,active,weight loss,2450,regular,none,hypertension
33,male,72,164,26.77,sedentary,maintenance,1983,regular,gluten,none
37,male,92,183,27.47,sedentary,maintenance,2387,vegan,none,hypertension
25,female,82,157,33.27,sedentary,weight loss,1901,regular,none,none
36,female,70,155,29.14,moderate,weight loss,2200,paleo,none,high cholesterol
27,female,74,172,25.01,moderate,muscle gain,2399,regular,gluten,none
27,female,57,169,19.96,active,muscle gain,2383,regular,none,diabetes
49,male,93,171,31.8,active,maintenance,3237,regular,none,high cholesterol
25,male,81,182,24.45,sedentary,weight loss,2286,regular,gluten,none
41,male,69,190,19.11,active,maintenance,2918,regular,gluten,hypertension
54,female,65,158,26.04,sedentary,maintenance,1565,regular,none,none
44,male,86,159,34.02,active,maintenance,3025,regular,none,none
34,male,63,161,24.3,moderate,muscle gain,2344,regular,none,high cholesterol
29,male,71,171,24.28,sedentary,weight loss,2035,low-carb,none,none
28,male,74,163,27.85,sedentary,weight loss,2044,regular,none,none
56,female,70,148,31.96,active,weight loss,2261,regular,none,none
39,female,63,164,23.42,sedentary,maintenance,1643,regular,none,none
18,male,71,165,26.08,moderate,muscle gain,2680,regular,none,high cholesterol
18,male,71,159,28.08,sedentary,muscle gain,2040,regular,none,none
37,female,89,151,39.03,sedentary,maintenance,1894,regular,none,none
65,female,72,187,20.59,sedentary,weight loss,1694,regular,none,diabetes
44,female,77,145,36.62,sedentary,maintenance,1702,regular,none,none
46,female,68,162,25.91,sedentary,weight loss,1655,regular,none,none
34,female,55,170,19.03,sedentary,muscle gain,1603,regular,none,diabetes
37,female,70,163,26.35,sedentary,maintenance,1728,vegan,none,none
33,male,78,171,26.67,moderate,maintenance,2738,keto,none,high cholesterol
37,male,57,176,18.4,sedentary,weight loss,1784,vegetarian,gluten,none
20,male,91,179,28.4,active,weight loss,3541,regular,none,none
36,female,71,168,25.16,moderate,muscle gain,2277,regular,none,none
23,male,81,160,31.64,sedentary,muscle gain,2173,keto,none,none
35,male,71,178,22.41,sedentary,weight loss,2034,vegetarian,shellfish,none
47,male,61,167,21.87,moderate,maintenance,2232,regular,none,none
47,female,57,157,23.12,moderate,weight loss,1949,regular,none,hypertension
35,male,76,168,26.93,sedentary,maintenance,2057,vegetarian,none,none
30,male,77,160,30.08,active,maintenance,2963,vegetarian,none,none
30,male,68,169,23.81,sedentary,maintenance,1968,regular,none,none
28,male,89,193,23.89,active,muscle gain,3533,paleo,none,high cholesterol
45,female,64,179,19.97,moderate,muscle gain,2169,paleo,none,none
33,female,64,165,23.51,sedentary,maintenance,1689,vegan,none,none
24,male,55,185,16.07,sedentary,maintenance,1892,regular,none,none
32,male,64,164,23.8,moderate,maintenance,2404,regular,none,none
22,male,82,189,22.96,sedentary,weight loss,2363,regular,none,none
38,male,67,161,25.85,moderate,maintenance,2391,regular,none,none
58,female,76,160,29.69,moderate,weight loss,2162,regular,none,none
34,male,79,178,24.93,sedentary,weight loss,2170,regular,lactose,none
32,female,63,165,23.14,moderate,weight loss,2174,regular,none,none
32,male,89,185,26.0,sedentary,maintenance,2384,regular,none,none
35,male,72,161,27.78,sedentary,maintenance,1952,regular,none,none
36,male,47,176,15.17,moderate,maintenance,2105,regular,none,none
27,male,93,166,33.75,moderate,weight loss,3065,regular,none,none
18,female,61,176,19.69,moderate,muscle gain,2292,regular,none,none
27,female,56,163,21.08,active,muscle gain,2335,regular,nuts,high cholesterol
33,male,75,178,23.67,moderate,muscle gain,2728,regular,none,none
25,male,70,170,24.22,sedentary,weight loss,2040,regular,none,none
29,female,59,162,22.48,moderate,weight loss,2123,regular,none,none
38,female,74,167,26.53,active,weight loss,2561,regular,none,hypertension
27,male,68,169,23.81,moderate,weight loss,2569,vegetarian,none,none
27,female,60,152,25.97,active,weight loss,2340,regular,none,none
32,male,82,165,30.12,sedentary,maintenance,2157,regular,none,none
36,male,71,159,28.08,sedentary,weight loss,1918,regular,none,none
32,male,76,170,26.3,moderate,weight loss,2698,regular,none,hypertension
24,male,79,163,29.73,active,muscle gain,3092,regular,none,none
37,male,56,183,16.72,active,weight loss,2599,regular,none,none
20,male,69,174,22.79,active,weight loss,2992,regular,none,none
36,male,75,165,27.55,sedentary,weight loss,2017,regular,none,none
41,male,89,182,26.87,sedentary,weight loss,2306,regular,none,none
30,female,75,186,21.68,sedentary,maintenance,1905,regular,none,hypertension
18,male,67,178,21.15,moderate,weight loss,2694,regular,none,none
25,male,66,164,24.54,moderate,muscle gain,2507,vegetarian,none,none
22,male,71,179,22.16,sedentary,muscle gain,2128,paleo,none,none
33,male,72,183,21.5,sedentary,muscle gain,2093,regular,none,none
40,male,73,191,20.01,moderate,maintenance,2722,regular,none,none
36,male,85,186,24.57,sedentary,maintenance,2298,regular,none,none
25,female,74,162,28.2,sedentary,maintenance,1831,regular,none,high cholesterol
21,female,54,163,20.32,moderate,muscle gain,2110,regular,none,high cholesterol
22,male,67,185,19.58,moderate,weight loss,2711,vegan,none,none
33,male,80,170,27.68,sedentary,weight loss,2146,regular,none,none
37,female,53,151,23.24,sedentary,weight loss,1494,regular,none,none
30,male,92,169,32.21,moderate,muscle gain,3040,regular,none,diabetes
18,female,51,151,22.37,sedentary,maintenance,1571,regular,none,none
28,male,78,177,24.9,sedentary,weight loss,2189,vegan,none,none
18,female,72,156,29.59,moderate,maintenance,2354,vegan,lactose,none
31,female,69,168,24.45,sedentary,weight loss,1766,regular,none,none
43,female,66,173,22.05,sedentary,muscle gain,1689,regular,none,none
42,male,78,179,24.34,moderate,muscle gain,2719,regular,none,diabetes
20,male,84,157,34.08,moderate,maintenance,2873,regular,none,hypertension
35,male,76,179,23.72,moderate,weight loss,2739,regular,none,none
22,male,74,158,29.64,moderate,weight loss,2655,vegan,none,none
44,female,80,161,30.86,sedentary,weight loss,1795,regular,none,hypertension
35,male,59,171,20.18,active,maintenance,2589,regular,shellfish,high cholesterol
18,female,72,179,22.47,moderate,weight loss,2464,vegan,shellfish,none
55,male,98,167,35.14,active,maintenance,3261,regular,none,none
40,female,58,156,23.83,active,maintenance,2232,regular,none,none
18,female,58,169,20.31,active,weight loss,2466,regular,nuts,high cholesterol
41,female,64,173,21.38,sedentary,weight loss,1677,regular,none,none
47,male,68,154,28.67,sedentary,weight loss,1766,regular,none,high cholesterol
46,female,77,180,23.77,sedentary,weight loss,1822,regular,nuts,hypertension
44,female,68,159,26.9,sedentary,weight loss,1654,regular,none,none
28,female,64,180,19.75,active,weight loss,2546,regular,none,none
33,male,99,178,31.25,sedentary,maintenance,2498,vegetarian,none,none
23,male,85,188,24.05,moderate,weight loss,3098,regular,none,hypertension
41,male,88,173,29.4,moderate,maintenance,2890,regular,none,none
31,male,63,169,22.06,moderate,muscle gain,2429,regular,none,none
40,female,63,165,23.14,sedentary,weight loss,1642,regular,none,none
29,male,82,182,24.76,sedentary,weight loss,2275,regular,none,none
22,male,86,175,28.08,sedentary,maintenance,2347,regular,none,none
27,female,61,146,28.62,sedentary,weight loss,1616,regular,none,hypertension
29,male,79,188,22.35,moderate,weight loss,2921,regular,shellfish,hypertension
26,male,77,171,26.33,sedentary,maintenance,2152,regular,none,diabetes
21,male,104,177,33.2,moderate,weight loss,3428,regular,none,none
42,female,71,163,26.72,moderate,weight loss,2212,regular,none,none
32,female,69,156,28.35,moderate,maintenance,2217,regular,lactose,none
35,male,73,174,24.11,sedentary,muscle gain,2043,regular,none,high cholesterol
43,male,85,198,21.68,active,maintenance,3335,regular,none,none
42,female,60,158,24.03,moderate,weight loss,2031,regular,none,none
42,female,72,148,32.87,sedentary,muscle gain,1668,vegan,none,none
48,female,69,175,22.53,moderate,maintenance,2201,regular,nuts,none
27,male,110,165,40.4,sedentary,maintenance,2641,regular,none,none
52,male,81,179,25.28,moderate,weight loss,2693,regular,none,none
49,female,56,178,17.67,moderate,weight loss,2022,regular,none,diabetes
43,female,58,139,30.02,moderate,weight loss,1904,regular,none,none
38,male,75,178,23.67,moderate,maintenance,2684,keto,none,none
18,male,80,178,25.25,moderate,weight loss,2964,vegetarian,none,none
25,female,72,170,24.91,moderate,weight loss,2374,vegetarian,none,hypertension
26,male,65,173,21.72,moderate,maintenance,2545,regular,none,none
21,male,80,174,26.42,moderate,maintenance,2908,regular,none,none
32,female,67,160,26.17,moderate,weight loss,2208,regular,none,none
25,female,52,156,21.37,sedentary,weight loss,1564,vegan,none,diabetes
26,male,82,165,30.12,sedentary,maintenance,2197,regular,none,none
42,female,61,163,22.96,moderate,weight loss,2069,vegetarian,none,high cholesterol
18,male,73,174,24.11,moderate,maintenance,2789,regular,none,none
51,female,60,164,22.31,sedentary,muscle gain,1548,regular,none,none
33,female,73,156,30.0,moderate,weight loss,2268,regular,none,hypertension
37,female,78,172,26.37,sedentary,maintenance,1850,regular,nuts,hypertension
41,female,58,152,25.1,active,maintenance,2203,regular,none,hypertension
19,male,80,166,29.03,moderate,maintenance,2866,regular,none,none
52,female,66,176,21.31,active,maintenance,2377,vegetarian,none,high cholesterol
32,male,81,177,25.85,sedentary,weight loss,2210,regular,none,none
36,female,72,168,25.51,sedentary,maintenance,1774,keto,nuts,none
43,male,80,168,28.34,sedentary,weight loss,2067,vegan,none,none
26,female,65,144,31.35,sedentary,maintenance,1659,keto,none,none
30,male,90,185,26.3,moderate,maintenance,3118,regular,none,high cholesterol
37,female,72,166,26.13,sedentary,maintenance,1761,regular,none,none
39,female,69,158,27.64,active,weight loss,2426,regular,none,none
26,female,59,165,21.67,sedentary,weight loss,1670,vegan,none,none
58,female,82,170,28.37,active,weight loss,2555,regular,none,high cholesterol
37,female,61,154,25.72,moderate,muscle gain,2059,regular,none,hypertension
32,male,69,177,22.02,moderate,weight loss,2605,regular,none,hypertension
18,male,81,175,26.45,sedentary,weight loss,2293,regular,none,high cholesterol
44,male,92,163,34.63,sedentary,muscle gain,2224,regular,gluten,none
29,male,88,172,29.75,sedentary,weight loss,2314,regular,none,none
36,female,57,193,15.3,moderate,muscle gain,2196,regular,none,none
37,female,83,177,26.49,moderate,maintenance,2485,regular,none,none
46,female,73,182,22.04,sedentary,maintenance,1785,regular,none,diabetes
42,male,65,189,18.2,active,muscle gain,2808,regular,none,none
36,male,80,168,28.34,sedentary,muscle gain,2114,vegetarian,none,hypertension
23,female,68,154,28.67,moderate,weight loss,2254,paleo,none,none
32,female,60,164,22.31,moderate,maintenance,2126,regular,none,none
40,female,68,176,21.95,moderate,weight loss,2245,regular,none,none
36,male,66,164,24.54,active,weight loss,2683,regular,gluten,none
37,male,66,195,17.36,active,maintenance,2930,low-carb,none,diabetes
39,female,52,171,17.78,moderate,weight loss,1998,regular,none,none
24,female,68,174,22.46,moderate,maintenance,2343,regular,none,none
18,male,78,171,26.67,sedentary,weight loss,2222,keto,lactose,none
34,female,65,158,26.04,moderate,weight loss,2156,regular,none,none
43,male,67,181,20.45,moderate,weight loss,2496,regular,none,none
32,female,80,156,32.87,sedentary,weight loss,1838,regular,nuts,none
38,male,70,179,21.85,moderate,muscle gain,2588,regular,none,none
25,female,75,171,25.65,sedentary,weight loss,1875,paleo,none,none
32,male,72,169,25.21,sedentary,muscle gain,2019,regular,none,none
36,female,62,179,19.35,sedentary,muscle gain,1703,vegan,gluten,none
38,female,69,159,27.29,moderate,weight loss,2191,regular,none,none
28,male,75,173,25.06,moderate,muscle gain,2735,vegetarian,nuts,none
42,female,77,175,25.14,sedentary,weight loss,1824,regular,none,hypertension
31,female,66,180,20.37,moderate,muscle gain,2296,regular,gluten,high cholesterol
40,male,101,173,33.75,moderate,weight loss,3169,regular,none,none
32,female,68,156,27.94,active,weight loss,2451,regular,none,none
26,female,55,167,19.72,active,maintenance,2348,regular,none,none
23,male,83,164,30.86,moderate,weight loss,2878,regular,none,hypertension
18,female,71,142,35.21,sedentary,weight loss,1759,regular,none,none
25,male,86,187,24.59,active,weight loss,3443,vegetarian,none,none
25,female,68,182,20.53,sedentary,weight loss,1838,regular,none,none
43,female,59,160,23.05,moderate,muscle gain,2019,regular,none,none
38,female,60,161,23.15,moderate,maintenance,2072,keto,none,none
28,female,68,163,25.59,sedentary,weight loss,1752,vegetarian,none,none
34,female,64,152,27.7,sedentary,weight loss,1636,regular,none,hypertension
37,male,65,171,22.23,sedentary,weight loss,1884,regular,none,hypertension
29,female,72,166,26.13,active,weight loss,2591,regular,none,diabetes
24,female,76,169,26.61,moderate,muscle gain,2434,keto,none,none
34,female,58,170,20.07,sedentary,weight loss,1636,regular,none,diabetes
36,male,76,160,29.69,active,weight loss,2881,regular,none,none
24,male,71,193,19.06,sedentary,weight loss,2195,regular,none,none
18,male,88,183,26.28,sedentary,weight loss,2452,vegan,shellfish,hypertension
30,female,74,158,29.64,moderate,weight loss,2312,regular,none,diabetes
34,male,74,181,22.59,sedentary,muscle gain,2106,regular,lactose,none
52,female,68,151,29.82,moderate,maintenance,2044,regular,none,high cholesterol
32,female,76,153,32.47,moderate,weight loss,2303,regular,none,none
39,female,68,162,25.91,sedentary,maintenance,1691,paleo,none,none
54,male,75,178,23.67,sedentary,weight loss,1969,regular,none,none
32,female,67,170,23.18,moderate,weight loss,2256,vegetarian,none,high cholesterol
48,female,70,183,20.9,moderate,weight loss,2254,vegan,none,diabetes
26,female,63,184,18.61,active,weight loss,2566,regular,none,hypertension
18,male,64,187,18.3,moderate,maintenance,2699,vegetarian,none,diabetes
30,male,67,151,29.38,sedentary,muscle gain,1848,regular,none,none
27,male,67,179,20.91,sedentary,muscle gain,2030,regular,none,none
40,female,63,177,20.11,moderate,maintenance,2178,regular,none,none
28,female,60,161,23.15,sedentary,muscle gain,1656,regular,none,none
18,male,80,182,24.15,moderate,weight loss,2994,regular,none,high cholesterol
40,female,38,158,15.22,sedentary,maintenance,1338,regular,none,none
19,male,83,179,25.9,moderate,muscle gain,3025,regular,none,none
37,male,69,179,21.53,moderate,weight loss,2576,vegetarian,none,none
29,male,95,183,28.37,sedentary,maintenance,2490,regular,none,none
32,female,71,173,23.72,sedentary,maintenance,1802,regular,none,diabetes
24,male,60,190,16.62,moderate,muscle gain,2585,regular,none,none
39,female,77,170,26.64,moderate,muscle gain,2352,regular,none,none
37,male,74,170,25.61,moderate,maintenance,2613,regular,none,none
28,male,91,145,43.28,sedentary,weight loss,2213,regular,none,none
20,male,90,175,29.39,active,muscle gain,3485,regular,none,diabetes
36,male,81,178,25.56,moderate,maintenance,2826,regular,none,high cholesterol
25,male,87,177,27.77,sedentary,weight loss,2354,regular,none,none
38,female,59,157,23.94,active,weight loss,2268,paleo,none,high cholesterol
36,female,82,160,32.03,sedentary,maintenance,1855,regular,none,high cholesterol
37,male,74,170,25.61,moderate,weight loss,2613,keto,nuts,hypertension
32,male,75,182,22.64,moderate,weight loss,2767,vegan,none,none
43,male,65,186,18.79,moderate,maintenance,2492,regular,none,none
22,male,72,169,25.21,active,weight loss,3000,regular,none,none
31,female,87,171,29.75,moderate,muscle gain,2554,regular,none,none
31,male,91,173,30.41,sedentary,maintenance,2354,vegetarian,none,none
30,female,62,173,20.72,sedentary,maintenance,1712,vegetarian,none,high cholesterol
36,female,77,184,22.74,sedentary,maintenance,1889,keto,none,hypertension
46,female,67,151,29.38,sedentary,muscle gain,1603,regular,none,none
35,male,63,175,20.57,sedentary,weight loss,1888,regular,none,none
19,female,79,175,25.8,moderate,maintenance,2539,vegetarian,none,hypertension
31,male,62,172,20.96,moderate,weight loss,2431,keto,none,none
34,female,75,150,33.33,moderate,weight loss,2261,regular,lactose,none
26,male,76,170,26.3,moderate,weight loss,2751,regular,none,none
43,male,69,172,23.32,moderate,weight loss,2471,paleo,none,high cholesterol
31,male,79,186,22.84,moderate,weight loss,2888,regular,none,none
40,female,61,152,26.4,active,weight loss,2259,regular,none,high cholesterol
44,female,48,172,16.22,sedentary,maintenance,1481,keto,gluten,none
48,female,58,170,20.07,moderate,weight loss,2019,regular,none,none
43,male,71,187,20.3,active,weight loss,2920,regular,none,none
32,male,73,189,20.44,active,muscle gain,3091,regular,none,hypertension
32,male,64,169,22.41,sedentary,maintenance,1890,regular,none,none
30,female,69,186,19.94,sedentary,weight loss,1838,regular,none,none
33,female,60,161,23.15,sedentary,weight loss,1630,regular,none,none
52,male,68,162,25.91,moderate,weight loss,2296,regular,none,none
33,male,80,191,21.93,moderate,maintenance,2929,regular,none,none
47,male,80,167,28.69,moderate,muscle gain,2627,regular,none,hypertension
52,male,83,169,29.06,sedentary,maintenance,2059,regular,none,none
